Prefix	Species
Acaffstrigata	Acarospora_aff._strigata
Agrufu	Agyrium_rufum
Alfall	Alectoria_fallacina
Alsarm	Alectoria_sarmentosa
Bagiga	Bacidia_gigantensis
CC5508black.shovill	Meristemomyces_frigidus_CCFEE_5508_black
CC5508white.shovill	Meristemomyces_frigidus_CCFEE_5508_white
Celine	Cetradonia_linearis
Clbore	Cladonia_borealis
Clmaci	Cladonia_macilenta
Clmeta	Cladonia_metacorallifera
Clrang	Cladonia_rangiferina
Clunci	Cladonia_uncialis
Cyaste	Cyanodermella_asteris
DiGBRCAP01	Dirinaria_sp._GBRC_AP01
Evprun	Evernia_prunastri
Goamer	Gomphillus_americanus
Gyflav	Gyalolechia_flavorubescens
Hespec	Heterodermia_speciosa
Hyscal	Hypocenomyce_scalaris
Iceric	Icmadophila_ericetorum
Imaleu	Imshaugia_aleurites
Lahisp	Lasallia_hispanica
Lainsu	Lambiella_insularis
Lapust	Lasallia_pustulata
Lecolu	Letharia_columbiana
Lelupi	Letharia_lupina
Loimmi	Lobaria_immixta
Loochr	Loxospora_ochrophaea
MN5185	MNA-CCFEE_5185
MN6509	MNA-CCFEE_6509
MN6510	MNA-CCFEE_6510
MN6516	Pleopsidium_sp._MNA-CCFEE_6516
MN6519	Pleopsidium_chlorophanum_MNA-CCFEE_6519
MN6587	Lecidea_sp._MNA-CCFEE_6587
MN6592	Xylographa_sp._MNA-CCFEE_6592
MN6593	Umbilicaria_sp._MNA-CCFEE_6593
MN6594	Acarospora_sp._MNA-CCFEE_6594
MN6597	Acarospora_sp._MNA-CCFEE_6597
MN6598	Umbilicaria_sp._MNA-CCFEE_6598
MN6602	Pleopsidium_chlorophanum_MNA-CCFEE_6602
MN6604	Acarospora_sp._MNA-CCFEE_6604
MN6606	Acarospora_sp._MNA-CCFEE_6606
MN6607	MNA-CCFEE_6607
MN6608	Pleopsidium_sp._MNA-CCFEE_6608
MN6609	Lecidea_cancriformis_MNA-CCFEE_6609
MN6610	MNA-CCFEE_6610
MN6611	Pleopsidium_chlorophanum_MNA-CCFEE_6611
MN6630	Lecanora_fuscobrunnea_MNA-CCFEE_6630
MN6632	Acarospora_strigata_MNA-CCFEE_6632
MN6634	Acarospora_bullata_MNA-CCFEE_6634
MN6637	Acarospora_sp._MNA-CCFEE_6637
MN6639	Pleopsidium_chlorophanum_MNA-CCFEE_6639
MN6640	MNA-CCFEE_6640
MN6642	Lecidea_cancriformis_MNA-CCFEE_6642
MN6643	MNA-CCFEE_6643
MN6644	MNA-CCFEE_6644
MN6645	MNA-CCFEE_6645
MN6648	MNA-CCFEE_6648
MN6649	MNA-CCFEE_6649
MN6701	Lecidea_cancriformis_MNA-CCFEE_6701
MN6714	Umbilicaria_nylanderiana_MNA-CCFEE_6714
Mysang	Mycoblastus_sanguinarius
Nihoma	Niebla_homalea
Peleuc	Peltigera_leucophlebia
Phstel	Physcia_stellaris
Psaura	Pseudocyphellaria_aurata
Psfurf	Pseudevernia_furfuracea
Ptxylo	Ptychographa_xylographoides
RA112.	Trapelia_sp._RA-111_112
Rainte	Ramalina_intermedia
Raperu	Ramalina_peruviana
Rueleg	Rusavskia_elegans
Scdolo	Schaereria_dolodes
Stalpi	Stereocaulon_alpinum
Stcana	Sticta_canariensis
Sturce	Stictis_urceolata
Thlepa	Thelotrema_lepadinum
Toleuc	Toensbergia_leucococca
Trcoar	Trapelia_coarctata
Umfrey	Umbilicaria_freyi
Umgris	Umbilicaria_grisea
Ummueh	Umbilicaria_muehlenbergii
Umphae	Umbilicaria_phaea
Umspod	Umbilicaria_spodochroa
Umsubp	Umbilicaria_subpolyphylla
Ushako	Usnea_hakonensis
Varhod	Varicellaria_rhodocarpa
Xybjoe	Xylographa_bjoerkii
Xycarn	Xylographa_carneopallida
Xyopeg	Xylographa_opegraphella
Xypall	Xylographa_pallens
Xypara	Xylographa_parallela
Xysora	Xylographa_soralifera
Xytrun	Xylographa_trunciseda
Xyviti	Xylographa_vitiligo
